repo,system,n_scenarios,has_governance,file_precision,file_recall,file_f1,req_precision,req_recall,req_f1,pol_precision,pol_recall,pol_f1
talkai,naive_edit,24,True,0.25,0.0047,0.0093,0.0,0.0,0.0,0.0,0.0,0.0
talkai,lexical,24,True,0.5431,0.198,0.2902,0.4483,0.3171,0.3714,0.45,0.4865,0.4675
talkai,static,24,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
talkai,uce,24,True,0.7783,0.9788,0.8671,1.0,0.2927,0.4528,1.0,0.4595,0.6296
melodi,naive_edit,33,True,0.4545,0.0414,0.0759,0.0,0.0,0.0,0.0,0.0,0.0
melodi,lexical,33,True,0.3769,0.3425,0.3589,0.5269,0.3952,0.4516,0.5735,0.7222,0.6393
melodi,static,33,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
melodi,uce,33,True,0.4466,0.9475,0.6071,0.8154,0.4274,0.5608,0.7727,0.6296,0.6939
expenses,naive_edit,9,True,0.6667,0.2,0.3077,0.0,0.0,0.0,0.0,0.0,0.0
expenses,lexical,9,True,0.75,0.5,0.6,0.8571,0.8571,0.8571,1.0,0.8,0.8889
expenses,static,9,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
expenses,uce,9,True,0.5556,1.0,0.7143,0.6667,0.8571,0.75,0.6667,0.8,0.7273
spark,naive_edit,48,False,1.0,0.0033,0.0065,,,,,,
spark,lexical,48,False,0.7596,0.3342,0.4642,,,,,,
spark,static,48,False,1.0,1.0,1.0,,,,,,
spark,uce,48,False,0.623,1.0,0.7677,,,,,,
